Date,Open,High,Low,Close,Adj Close,Volume
2021-09-22,2987.5,3050.0,2975.0,3037.5,2624.266845703125,26711200
2021-09-23,3062.5,3062.5,3012.5,3037.5,2624.266845703125,40606000
2021-09-24,3037.5,3050.0,2962.5,2987.5,2581.06884765625,50278400
2021-09-27,3000.0,3012.5,2950.0,2950.0,2548.670654296875,68500800
2021-09-28,2975.0,3012.5,2950.0,2975.0,2570.269775390625,64652200
2021-09-29,2975.0,3025.0,2962.5,3000.0,2591.86865234375,56467400
2021-09-30,3025.0,3075.0,3000.0,3075.0,2656.665283203125,82812000
2021-10-01,3075.0,3100.0,3025.0,3050.0,2635.06640625,74975400
2021-10-04,3087.5,3250.0,3075.0,3237.5,2797.05810546875,156691600
2021-10-05,3225.0,3275.0,3187.5,3212.5,2775.459228515625,94886200
2021-10-06,3237.5,3337.5,3225.0,3300.0,2851.0556640625,168775800
2021-10-07,3325.0,3412.5,3312.5,3350.0,2894.253173828125,253196600
2021-10-08,3362.5,3487.5,3362.5,3450.0,2980.64892578125,223592000
2021-10-11,3450.0,3462.5,3400.0,3450.0,2980.64892578125,123020200
2021-10-12,3487.5,3525.0,3462.5,3500.0,3023.8466796875,191044200
2021-10-13,3537.5,3550.0,3475.0,3550.0,3067.04443359375,134998000
2021-10-14,3562.5,3587.5,3525.0,3587.5,3099.44287109375,104307800
2021-10-15,3587.5,3600.0,3537.5,3575.0,3088.643310546875,84353000
2021-10-18,3600.0,3662.5,3575.0,3587.5,3099.44287109375,152951600
2021-10-19,3625.0,3625.0,3525.0,3600.0,3110.242431640625,99358000
2021-10-21,3587.5,3662.5,3562.5,3587.5,3099.44287109375,189264000
2021-10-22,3550.0,3612.5,3537.5,3600.0,3110.242431640625,65782600
2021-10-25,3587.5,3625.0,3562.5,3562.5,3077.84423828125,76296200
2021-10-26,3550.0,3600.0,3550.0,3587.5,3099.44287109375,55872800
2021-10-27,3600.0,3612.5,3562.5,3575.0,3088.643310546875,82925200
2021-10-28,3562.5,3575.0,3500.0,3512.5,3034.646240234375,99023600
2021-10-29,3587.5,3650.0,3575.0,3587.5,3099.44287109375,160952400
2021-11-01,3625.0,3625.0,3575.0,3587.5,3099.44287109375,65621400
2021-11-02,3587.5,3600.0,3500.0,3512.5,3034.646240234375,51923400
2021-11-03,3487.5,3625.0,3462.5,3562.5,3077.84423828125,107556600
2021-11-04,3625.0,3650.0,3587.5,3587.5,3099.44287109375,103726400
2021-11-05,3625.0,3625.0,3500.0,3550.0,3067.04443359375,48035600
2021-11-08,3600.0,3600.0,3500.0,3500.0,3023.8466796875,50517400
2021-11-09,3525.0,3550.0,3425.0,3437.5,2969.849365234375,120574200
2021-11-10,3437.5,3575.0,3437.5,3575.0,3088.643310546875,156118000
2021-11-11,3562.5,3612.5,3512.5,3612.5,3121.0419921875,86362400
2021-11-12,3637.5,3637.5,3525.0,3550.0,3067.04443359375,56807000
2021-11-15,3550.0,3575.0,3525.0,3525.0,3045.445556640625,40131000
2021-11-16,3525.0,3612.5,3512.5,3612.5,3121.0419921875,76140200
2021-11-17,3612.5,3625.0,3575.0,3612.5,3121.0419921875,72789600
2021-11-18,3600.0,3612.5,3575.0,3587.5,3099.44287109375,30911600
2021-11-19,3587.5,3650.0,3575.0,3625.0,3131.841064453125,101125800
2021-11-22,3675.0,3750.0,3612.5,3675.0,3175.038818359375,92374400
